path,type,size,parent_directory
C:/Users/!!!/Desktop/python_2/python_2/lesson_8\1_task.py,file,1056,C:/Users/!!!/Desktop/python_2/python_2/lesson_8
C:/Users/!!!/Desktop/python_2/python_2/lesson_8\2_task.py,file,1717,C:/Users/!!!/Desktop/python_2/python_2/lesson_8
C:/Users/!!!/Desktop/python_2/python_2/lesson_8\3_task.py,file,888,C:/Users/!!!/Desktop/python_2/python_2/lesson_8
C:/Users/!!!/Desktop/python_2/python_2/lesson_8\4_task.py,file,1715,C:/Users/!!!/Desktop/python_2/python_2/lesson_8
C:/Users/!!!/Desktop/python_2/python_2/lesson_8\5_task.py,file,760,C:/Users/!!!/Desktop/python_2/python_2/lesson_8
C:/Users/!!!/Desktop/python_2/python_2/lesson_8\6_task.py,file,939,C:/Users/!!!/Desktop/python_2/python_2/lesson_8
C:/Users/!!!/Desktop/python_2/python_2/lesson_8\7_task.py,file,514,C:/Users/!!!/Desktop/python_2/python_2/lesson_8
C:/Users/!!!/Desktop/python_2/python_2/lesson_8,directory,7589,C:/Users/!!!/Desktop/python_2/python_2
C:/Users/!!!/Desktop/python_2/python_2/lesson_8\hw_8\task_1.py,file,2011,C:/Users/!!!/Desktop/python_2/python_2/lesson_8\hw_8
C:/Users/!!!/Desktop/python_2/python_2/lesson_8\hw_8,directory,2011,C:/Users/!!!/Desktop/python_2/python_2/lesson_8
